numero,nombrePremio,descripcionPremio,urlFotoPremio
18422,PlayStation 5,Consola de videojuegos de última generación,https://example.com/ps5.jpg
32109,Xbox Series X,Consola de videojuegos Microsoft,https://example.com/xbox.jpg
55661,Nintendo Switch,Consola portátil Nintendo,https://example.com/switch.jpg
43434,Bicicleta Mountain Bike,Bicicleta de montaña 29 pulgadas,https://example.com/bici.jpg
10005,Tablet Samsung Galaxy,Tablet 10.5 pulgadas,https://example.com/tablet.jpg
00888,Auriculares Sony WH-1000XM5,Auriculares con cancelación de ruido,https://example.com/auriculares.jpg
00007,Smart TV 55 pulgadas,Televisor 4K Ultra HD,https://example.com/tv.jpg
74801,Robot Aspirador,Robot aspirador inteligente,https://example.com/robot.jpg
05005,Cafetera Nespresso,Cafetera de cápsulas,https://example.com/cafetera.jpg
08008,Air Fryer,Freidora de aire 5L,https://example.com/airfryer.jpg

